entity	columnName	columnTitle	description	LdmType	DataType	SyncEnabled	InScope	referenceEntity	referenceColumnName	sortLabel	sortOrder	defaultLabelRef
Accounts	AccountId	AccountId		pk	integer	yes	1					
Accounts	AccountNumber	AccountNumber		attribute	string	yes	1					
Accounts	AccountDescription	AccountDescription		attribute	string	yes	1					
Accounts	AccountCategory	AccountCategory		attribute	integer	yes	1					
Accounts	AccountCategoryTranslation	AccountCategoryTranslation		attribute	string	yes	1					
Accounts	FundName	FundName		attribute	string	yes	1					
Accounts	FundDescription	FundDescription		attribute	string	yes	1					
Accounts	Class	Class		attribute	string	yes	1					
Accounts	Status	Status		attribute	integer	yes	1					
Accounts	StatusTranslation	StatusTranslation		attribute	string	yes	1					
Accounts	AccountCode	AccountCode		attribute	string	yes	1					
Accounts	AccountCodeDescription	AccountCodeDescription		attribute	string	yes	1					
Accounts	AddedByUserId	AddedByUserId		attribute	integer	yes	1					
Accounts	LastChangedByUserId	LastChangedByUserId		attribute	integer	yes	1					
Accounts	DateAdded	DateAdded		attribute	date	yes	1					
Accounts	DateChanged	DateChanged		attribute	date	yes	1					
Projects	ProjectId	ProjectId		pk	integer	yes	1					
Projects	UserId	UserId		attribute	string	yes	1					
Projects	Description	Description		attribute	string	yes	1					
Projects	Division	Division		attribute	string	yes	1					
Projects	Location	Location		attribute	string	yes	1					
Projects	Department	Department		attribute	string	yes	1					
Projects	AddedByUserId	AddedByUserId		attribute	integer	yes	1					
Projects	LastChangedByUserId	LastChangedByUserId		attribute	integer	yes	1					
Projects	DateAdded	DateAdded		attribute	date	yes	1					
Projects	DateChanged	DateChanged		attribute	date	yes	1					
ProjectBudgets	ProjectBudgetId	ProjectBudgetId		pk	integer	yes	1					
ProjectBudgets	AccountBudgetAttrId	AccountBudgetAttrId		fk	integer	yes	1	AccountBudgets_Attr	AccountBudgetAttrId			
ProjectBudgets	ProjectId	ProjectId		fk	integer	yes	1	Projects	ProjectId			
ProjectBudgets	AccountId	AccountId		fk	integer	yes	1	Accounts	AccountId			
ProjectBudgets	ProjectBudgetAmount	ProjectBudgetAmount		fact	numeric	yes	1					
ProjectBudgets	FiscalPeriodId	FiscalPeriodId		fk	integer	yes	1	FiscalPeriods	FiscalPeriodId			
ProjectBudgets	PeriodAmount	PeriodAmount		fact	numeric	yes	1					
AccountBudgets_Attr	AccountBudgetAttrId	AccountBudgetAttrId		pk	integer	yes	1					
AccountBudgets_Attr	ScenarioId	ScenarioId		attribute	string	yes	1					
AccountBudgets_Attr	AccountBudgetId	AccountBudgetId		attribute	string	yes	1					
AccountBudgets_Fact	AccountId	AccountId		fk	integer	yes	1	Accounts	AccountId			
AccountBudgets_Fact	FiscalPeriodId	FiscalPeriodId		fk	integer	yes	1	FiscalPeriods	FiscalPeriodId			
