file|version|field|type|order
AccountUserSecurity|1|TenantId|string-255|0
AccountUserSecurity|1|UsersId|integer|1
AccountUserSecurity|1|AccountId|integer|2
AccountUserSecurity|1|SerialNumber|string-255|3
AccountUserSecurity|1|Deleted|boolean|4
ProjectUserSecurity|1|TenantId|string-255|0
ProjectUserSecurity|1|UsersId|integer|1
ProjectUserSecurity|1|ProjectId|integer|2
ProjectUserSecurity|1|SerialNumber|string-255|3
ProjectUserSecurity|1|Deleted|boolean|4
VendorHistory|1|TenantId|string-255|0
VendorHistory|1|VendorHistoryId|integer|1
VendorHistory|1|VendorId|integer|2
VendorHistory|1|FieldChanged|integer|3
VendorHistory|1|FieldChangedTranslation|string-255|4
VendorHistory|1|OldValue|string-255|5
VendorHistory|1|NewValue|string-255|6
VendorHistory|1|DateChanged|datetime|7
VendorHistory|1|ChangedByUserId|integer|8
VendorHistory|1|Deleted|boolean|9
AccountHistory|1|TenantId|string-255|0
AccountHistory|1|AccountHistoryId|integer|1
AccountHistory|1|AccountId|integer|2
AccountHistory|1|FieldChanged|integer|3
AccountHistory|1|FieldChangedTranslation|string-255|4
AccountHistory|1|OldValue|string-255|5
AccountHistory|1|NewValue|string-255|6
AccountHistory|1|DateChanged|datetime|7
AccountHistory|1|ChangedByUserId|integer|8
AccountHistory|1|Deleted|boolean|9
ProjectHistory|1|TenantId|string-255|0
ProjectHistory|1|ProjectHistoryId|integer|1
ProjectHistory|1|ProjectId|integer|2
ProjectHistory|1|FieldChanged|integer|3
ProjectHistory|1|FieldChangedTranslation|string-255|4
ProjectHistory|1|OldValue|string-255|5
ProjectHistory|1|NewValue|string-255|6
ProjectHistory|1|DateChanged|datetime|7
ProjectHistory|1|ChangedByUserId|integer|8
ProjectHistory|1|Deleted|boolean|9
BankUserSecurity|1|TenantId|string-255|0
BankUserSecurity|1|BankId|integer|1
BankUserSecurity|1|UsersId|integer|2
BankUserSecurity|1|SerialNumber|string-255|3
BankUserSecurity|1|Deleted|boolean|4
BankReconciliationHistory|1|TenantId|string-255|0
BankReconciliationHistory|1|BankReconciliationId|integer|1
BankReconciliationHistory|1|BankId|integer|2
BankReconciliationHistory|1|ReconciliationDate|datetime|3
BankReconciliationHistory|1|ReconciliationBalance|decimal-19-4|4
BankReconciliationHistory|1|AddedByUserId|integer|5
BankReconciliationHistory|1|Deleted|boolean|6
Account|1|TenantId|string-255|0
Account|1|AccountId|integer|1
Account|1|AccountNumber|string-255|2
Account|1|AccountDescription|string-255|3
Account|1|AccountCategory|integer|4
Account|1|AccountCategoryTranslation|string-255|5
Account|1|Status|integer|6
Account|1|StatusTranslation|string-255|7
Account|1|FundId|integer|8
Account|1|ClassId|integer|9
Account|1|AccountCodeId|integer|10
Account|1|WorkingCapitalId|integer|11
Account|1|CashFlowId|integer|12
Account|1|IsContraAccount|boolean|13
Account|1|IsControlAccount|boolean|14
Account|1|IsCashAccount|boolean|15
Account|1|AddedByUserId|integer|16
Account|1|LastChangedByUserId|integer|17
Account|1|DateAdded|datetime|18
Account|1|DateChanged|datetime|19
Account|1|Deleted|boolean|20
Fund|1|TenantId|string-255|0
Fund|1|FundId|integer|1
Fund|1|UserDefinedId|string-255|2
Fund|1|Description|string-255|3
Fund|1|NetAssetsAccountId|integer|4
